Department,Employees,Teams (count),Teams,Tracked_h
Operations,139,6,Operations - Alliance; Operations - Falcons; Operations - Mavericks; Operations - Syndicate; Operations - Synergy; Operations - Titans,184059.5
Archived Projects,105,1,Archived Projects- Ledger Labs-,111686.9
Unassigned,2,1,Unassigned,17354.7
Marketing,9,1,Marketing,10507.0
Onboarding,40,1,Onboarding Clients,9592.3
Admin,22,1,Admin,8780.4
HR,13,2,HR - LedgerLabs; HR Department,4721.6
Praduman Singh,6,1,Praduman Singh,4142.4
HR (OLD),3,1,HR (OLD),7.9
Personal,2,1,Personal,0.0
Project sharing with client,2,1,Project sharing with client,0.0
Tax,3,1,Tax Department,0.0
Client Tracking,1,1,Client Tracking-Tax Filing,0.0
